FullName,Direction,Name,Suffix,SuffixDirection,MinAddress,MaxAddress
W 91ST ST,W,91ST,ST, ,1,2399
E 92ND PL,E,92ND,PL, ,500,2399
W 92ND PL,W,92ND,PL, ,1000,2399
E 92ND ST,E,92ND,ST, ,1,3332
W 92ND ST,W,92ND,ST, ,32,2199
E 93RD CT,E,93RD,CT, ,3500,3599
E 93RD PL,E,93RD,PL, ,1010,1099
W 93RD PL,W,93RD,PL, ,216,1699
E 93RD ST,E,93RD,ST, ,1,3299
W 93RD ST,W,93RD,ST, ,32,2199
W 94TH PL,W,94TH,PL, ,300,399
E 94TH ST,E,94TH,ST, ,1,3599
W 94TH ST,W,94TH,ST, ,32,2399
E 95TH PL,E,95TH,PL, ,1232,2527
W 95TH PL,W,95TH,PL, ,400,1799
E 95TH ST,E,95TH,ST, ,1,3699
W 95TH ST,W,95TH,ST, ,1,2399
E 96TH PL,E,96TH,PL, ,1232,2734
W 96TH PL,W,96TH,PL, ,400,499
E 96TH ST,E,96TH,ST, ,100,3699
W 96TH ST,W,96TH,ST, ,39,2399
E 97TH PL,E,97TH,PL, ,1232,2599
W 97TH PL,W,97TH,PL, ,400,1399
E 97TH ST,E,97TH,ST, ,100,3731
W 97TH ST,W,97TH,ST, ,58,2399
E 98TH PL,E,98TH,PL, ,58,2146
W 98TH PL,W,98TH,PL, ,200,1399
E 98TH ST,E,98TH,ST, ,38,4099
W 98TH ST,W,98TH,ST, ,208,2299
E 99TH PL,E,99TH,PL, ,1,699
W 99TH PL,W,99TH,PL, ,300,2629
E 99TH ST,E,99TH,ST, ,100,3799
W 99TH ST,W,99TH,ST, ,1,3999
E 9TH ST,E,9TH,ST, ,1,99
W 9TH ST,W,9TH,ST, ,1,199
S ABBOTT AVE,S,ABBOTT,AVE, ,9041,9099
N ABERDEEN ST,N,ABERDEEN,ST, ,1,799
S ABERDEEN ST,S,ABERDEEN,ST, ,1,12299
N ACADEMY PL,N,ACADEMY,PL, ,1,99
S ACADEMY PL,S,ACADEMY,PL, ,1,99
S ACCESS DR,S,ACCESS,DR, ,2200,2268
S ACCESS RD,S,ACCESS,RD, ,10200,10308
W ACCESS ST,W,ACCESS,ST, ,3800,3999
N ADA ST,N,ADA,ST, ,1,1699
S ADA ST,S,ADA,ST, ,700,12299
W ADAMS BLVD,W,ADAMS,BLVD, ,5600,5999
E ADAMS ST,E,ADAMS,ST, ,1,99
W ADAMS ST,W,ADAMS,ST, ,1,5599
W ADDISON ST,W,ADDISON,ST, ,500,8399
